Tm,ORB%.team,Ortg.team,ORB/gm.team,FTA/gm.team,FGA/gm.team,TO/gm.team,Pts/gm.team,Pts(total).team,Season
ATL,23.7,104.9,10.3,25,84.6,15.2,103.2,8459,2016-17
BOS,21.2,111.1,9.1,23.2,85,12.7,108,8857,2016-17
BRK,19.6,104.5,8.8,24.5,85.2,16,105.8,8673,2016-17
CHO,19.8,109.3,8.7,24,85.4,11,104.9,8435,2016-17
CHI,27,107.1,12.2,22.6,87,13,102.9,8601,2016-17
CLE,22,113.9,9.4,23.3,85,13.1,110.3,9048,2016-17
DAL,18.2,105.7,7.9,18.4,82.3,11.2,97.9,8029,2016-17
DEN,27.5,113.4,11.9,24.3,87.8,14.4,111.7,9161,2016-17
DET,24.2,106,11.1,19.4,88.5,11.4,101.3,8309,2016-17
GSW,22.8,115.8,9.4,22.6,87.1,14.4,115.9,9503,2016-17
HOU,24.6,114.9,10.8,26.6,87.1,14.5,115.3,9458,2016-17
IND,21.1,108.3,9,22.1,84.6,13.3,105.1,8618,2016-17
LAC,21.4,112.3,8.9,25.9,83.1,12.6,108.7,8911,2016-17
LAL,25.1,106.2,11.4,22.7,87.3,14.6,104.6,8575,2016-17
MEM,24.6,107.7,10.7,23.4,83.6,12.4,100.5,8239,2016-17
MIA,24.2,107.7,10.6,21.5,85.7,12.5,103.2,8460,2016-17
MIL,21.5,109.3,8.8,22.7,81.9,13.3,103.6,8497,2016-17
MIN,27.3,110.8,11.5,24.3,84.3,13.4,105.6,8657,2016-17
NOP,18.6,105.4,8.6,22.3,87,12.3,104.3,8556,2016-17
NYK,26.4,107.6,11.9,21,88.6,13.1,104.3,8556,2016-17
OKC,27.8,108.4,12.1,25.9,87.3,14.6,106.6,8741,2016-17
ORL,21.7,103.9,9.9,21.5,87,12.8,101.1,8288,2016-17
PHI,22.1,102.8,9.8,21.9,85.3,16,102.3,8400,2016-17
POR,22.8,110.4,11.8,26.4,88.3,15,107.9,8851,2016-17
PHO,26,106.7,10.1,23.9,86.1,13.1,107.7,8831,2016-17
SAC,21,107.1,8.8,23.2,82.1,14.2,102.8,8430,2016-17
SAS,23.8,111.2,9.9,22.2,83.7,12.8,105.3,8637,2016-17
TOR,24.9,112.3,10.6,24.8,84.3,11.9,106.9,8762,2016-17
UTA,23.2,109.5,9.4,23,79.3,12.9,100.7,8258,2016-17
WAS,24.2,111.3,10.3,22.3,87.1,13.5,109.2,8953,2016-17
